chr	pos	ref_base	strand	mod	CTR1_depth	CTR1_basecall_accuracy	CTR1_mod_freq	CTR1_mod_prob	CTR2_depth	CTR2_basecall_accuracy	CTR2_mod_freq	CTR2_mod_prob	INH21_depth	INH21_basecall_accuracy	INH21_mod_freq	INH21_mod_prob	INH22_depth	INH22_basecall_accuracy	INH22_mod_freq	INH22_mod_prob	INH101_depth	INH101_basecall_accuracy	INH101_mod_freq	INH101_mod_prob	INH102_depth	INH102_basecall_accuracy	INH102_mod_freq	INH102_mod_prob	INH201_depth	INH201_basecall_accuracy	INH201_mod_freq	INH201_mod_prob	INH202_depth	INH202_basecall_accuracy	INH202_mod_freq	INH202_mod_prob
chr1	86350527	A	-	m6A	52	0.904	0.135	0.8	93	0.968	0.129	0.8	68	0.926	0.132	0.667	121	0.975	0.099	0.75	78	0.949	0.064	0.767	137	0.964	0.117	0.783	159	0.962	0.057	0.7	226	0.991	0.04	0.667
chr1	86350577	A	-	m6A	52	0.962	0.288	0.767	92	0.989	0.315	0.767	69	0.986	0.159	0.833	128	1	0.25	0.7	77	0.987	0.169	0.733	135	1	0.193	0.783	164	1	0.073	0.85	227	0.982	0.137	0.733
chr2	25223116	A	-	m6A	44	1	0.091	0.583	73	0.89	0.055	0.833	90	0.989	0.067	0.817	158	0.943	0.038	0.767	77	0.987	0	NA	130	0.977	0.015	0.85	191	0.99	0.016	0.633	213	0.981	0.019	0.917
chr2	121437732	A	+	m6A	36	1	0.417	0.767	34	0.971	0.235	0.767	59	1	0.254	0.767	91	1	0.209	0.867	42	0.976	0.19	0.8	54	0.981	0.148	0.733	57	1	0.088	0.767	72	0.986	0.125	0.833
chr2	143943196	A	+	m6A	38	1	0.184	0.767	55	1	0.109	0.8	74	0.973	0.041	0.667	156	0.994	0.135	0.767	57	1	0.088	0.633	89	1	0.056	0.667	114	1	0.044	0.667	138	1	0.043	0.8
chr2	155820063	A	-	m6A	26	1	0.115	0.8	30	1	0.1	0.733	27	1	0	NA	47	1	0.064	0.9	25	1	0.04	0.933	25	1	0	NA	42	1	0.024	0.6	49	1	0.041	0.717
chr4	44032668	A	+	m6A	26	1	0.077	0.7	54	0.981	0.111	0.85	46	1	0.109	0.867	78	0.962	0.179	0.683	29	0.966	0.069	0.783	55	0.964	0	NA	76	0.987	0.039	0.967	79	0.962	0.013	0.6
chr4	119136604	A	+	m6A	42	1	0.381	0.833	34	0.971	0.412	0.75	81	0.988	0.247	0.717	152	0.987	0.355	0.8	52	1	0.346	0.717	84	1	0.333	0.833	96	1	0.135	0.7	96	0.979	0.344	0.767
chr4	119136639	A	+	m6A	44	0.977	0.068	0.8	34	1	0.059	0.767	80	0.988	0.037	0.833	157	1	0.032	0.6	55	1	0	NA	81	1	0.012	0.533	98	0.99	0.01	0.767	98	1	0.01	0.633
chr4	119136836	A	+	m6A	43	0.977	0.256	0.9	40	0.975	0.225	0.933	81	1	0.198	0.933	151	0.96	0.159	0.817	53	0.962	0.17	0.9	85	0.976	0.129	0.933	100	0.94	0.07	0.967	97	0.969	0.155	0.9
chr4	119136850	A	+	m6A	41	1	0.293	0.783	36	0.972	0.194	0.733	78	0.974	0.141	0.733	150	0.973	0.227	0.7	51	0.961	0.098	0.7	85	0.941	0.176	0.7	100	0.99	0.11	0.7	96	0.99	0.135	0.733
chr4	119136927	A	+	m6A	42	0.952	0.143	0.95	39	1	0.128	0.8	82	0.963	0.073	0.883	156	0.949	0.058	0.867	57	0.93	0.053	0.833	85	0.976	0.047	0.7	103	0.942	0.029	0.8	102	0.99	0.039	0.867
chr4	119136950	A	+	m6A	46	1	0.13	0.65	38	1	0.105	0.767	90	1	0.167	0.767	163	0.988	0.135	0.783	57	1	0.105	0.8	86	0.977	0.105	0.8	103	1	0.049	0.867	97	1	0.062	0.783
chr4	133600696	A	-	m6A	31	1	0.677	0.833	42	0.952	0.476	0.85	50	0.98	0.6	0.867	94	0.989	0.468	0.85	67	0.97	0.403	0.7	92	1	0.391	0.9	166	0.994	0.235	0.833	164	0.982	0.323	0.867
chr4	133600949	A	-	m6A	32	1	0.406	0.8	48	1	0.5	0.8	53	1	0.358	0.7	105	0.99	0.362	0.75	72	1	0.319	0.767	108	1	0.296	0.8	177	0.994	0.266	0.767	177	1	0.203	0.8
chr4	133600965	A	-	m6A	26	0.923	0.192	0.667	44	0.955	0.205	0.767	47	0.936	0.17	0.85	94	0.936	0.213	0.683	65	0.938	0.077	0.6	102	0.961	0.137	0.733	158	0.975	0.089	0.817	159	0.956	0.094	0.7
chr4	133601459	A	-	m6A	29	1	0.138	0.583	44	1	0.136	0.817	47	1	0.106	0.7	100	0.99	0.07	0.8	63	1	0.079	0.7	98	1	0.061	0.65	156	0.994	0.032	0.733	162	1	0.019	0.767
chr5	3236898	A	+	m6A	62	1	0.081	0.7	55	0.964	0.109	0.683	78	1	0.038	0.633	159	1	0.044	0.633	70	1	0.043	0.567	93	1	0.011	0.733	165	1	0.012	0.65	154	0.987	0.032	0.7
chr5	115298622	A	-	m6A	36	1	0.556	0.733	31	0.935	0.484	0.833	56	0.964	0.411	0.767	105	0.962	0.352	0.767	67	0.94	0.224	0.833	104	0.942	0.154	0.767	127	0.976	0.087	0.8	117	0.974	0.137	0.733
chr5	115298649	A	-	m6A	35	1	0.457	0.85	35	1	0.343	0.883	54	0.981	0.333	0.833	106	0.991	0.425	0.833	69	0.986	0.275	0.867	111	0.955	0.18	0.8	142	0.979	0.12	0.833	132	0.985	0.144	0.767
chr5	115298687	A	-	m6A	36	1	0.444	0.8	35	1	0.343	0.717	59	0.966	0.254	0.833	100	0.96	0.29	0.767	72	1	0.194	0.783	107	0.981	0.234	0.767	141	0.979	0.234	0.767	130	0.985	0.085	0.733
chr5	129023001	A	+	m6A	73	0.959	0.205	0.767	80	0.988	0.275	0.767	124	0.968	0.169	0.767	227	0.943	0.203	0.817	111	0.946	0.117	0.767	159	0.962	0.107	0.767	227	0.974	0.048	0.733	264	0.985	0.049	0.767
