chr	pos	ref_base	strand	mod	6dKO-1_depth	6dKO-1_basecall_accuracy	6dKO-1_mod_freq	6dKO-1_mod_prob	6dKO-2_depth	6dKO-2_basecall_accuracy	6dKO-2_mod_freq	6dKO-2_mod_prob	6dWT-1_depth	6dWT-1_basecall_accuracy	6dWT-1_mod_freq	6dWT-1_mod_prob	6dWT-2_depth	6dWT-2_basecall_accuracy	6dWT-2_mod_freq	6dWT-2_mod_prob
chr3	96560603	A	+	m6A	59	0.966	0.119	0.767	28	0.964	0.179	0.8	27	0.926	0.148	0.667	51	1	0.216	0.733
chr3	96560878	A	+	m6A	73	0.986	0.151	0.8	30	0.967	0.167	0.9	28	1	0.143	0.683	64	1	0.328	0.767
chr3	137866476	A	+	m6A	60	0.983	0.05	0.833	43	1	0.07	0.767	26	1	0.115	0.867	57	1	0.123	0.867
chr3	137866522	A	+	m6A	64	0.984	0.109	0.867	42	1	0.214	0.9	25	1	0.16	0.7	55	1	0.436	0.783
chr5	115298622	A	-	m6A	109	0.972	0.147	0.8	54	0.981	0.13	0.9	36	0.944	0.25	0.8	79	0.975	0.38	0.8
chr5	115298649	A	-	m6A	118	1	0.229	0.833	58	0.966	0.121	0.767	40	0.95	0.225	0.9	84	0.976	0.381	0.85
chr5	115298687	A	-	m6A	109	0.991	0.193	0.7	57	1	0.158	0.733	41	0.951	0.22	0.733	81	0.975	0.296	0.783
chr5	129023001	A	+	m6A	195	0.985	0.113	0.733	103	0.99	0.097	0.7	76	0.961	0.066	0.633	147	0.959	0.197	0.833
chr5	135790186	A	+	m6A	63	1	0.063	0.917	32	1	0.062	0.883	26	0.962	0.077	0.717	54	1	0.074	0.65
chr5	142903533	A	-	m6A	114	0.982	0.009	0.567	84	1	0.012	1	59	0.983	0.085	0.8	95	1	0.053	0.733
chr5	142903793	A	-	m6A	71	0.972	0.056	0.733	68	0.971	0.029	0.883	41	0.976	0.171	0.833	72	0.972	0.125	0.9
chr6	39405781	A	-	m6A	125	0.968	0.088	0.867	78	0.974	0.141	0.9	32	0.969	0.188	0.767	104	0.971	0.163	0.867
chr6	67284071	A	+	m6A	96	0.99	0.323	0.833	35	1	0.4	0.883	38	1	0.342	0.767	103	0.961	0.437	0.867
chr6	67284100	A	+	m6A	101	0.97	0.089	0.6	38	1	0.026	0.733	37	1	0.054	0.733	108	0.991	0.065	0.767
chr6	99877737	A	-	m6A	81	0.963	0.099	0.833	53	0.925	0.189	0.717	26	0.962	0.231	0.75	66	0.939	0.136	0.7
chr6	124811232	A	-	m6A	80	0.95	0.037	0.767	43	0.977	0.093	0.65	35	0.971	0.086	0.6	69	0.986	0.072	0.8
chr6	148355504	A	+	m6A	128	1	0.07	0.7	76	1	0.105	0.75	56	1	0.125	0.6	86	1	0.105	0.733
chr6	148355514	A	+	m6A	126	0.976	0.024	0.733	76	0.974	0.105	0.733	54	0.981	0.074	0.8	84	0.917	0.131	0.667
chr7	139944977	A	+	m6A	111	0.973	0.135	0.767	63	0.952	0.175	0.8	54	0.944	0.111	0.783	83	0.988	0.181	0.7
chr8	27275104	A	+	m6A	110	0.991	0.018	0.683	61	1	0	NA	42	1	0.095	0.783	82	1	0.061	0.567
chr8	27275374	A	+	m6A	116	1	0.069	0.783	63	1	0.079	0.833	44	0.977	0.159	0.733	92	0.989	0.12	0.767
chr8	43295350	A	-	m6A	70	1	0.114	0.717	37	1	0.081	0.567	28	1	0.143	0.7	70	1	0.129	0.7
chr9	44335617	A	+	m6A	51	0.961	0.235	0.8	36	0.972	0.111	0.733	35	0.943	0.143	0.633	72	0.986	0.264	0.733
chr9	44335814	A	+	m6A	39	0.974	0.103	0.583	30	0.967	0.2	0.667	33	0.939	0.121	0.533	64	0.984	0.172	0.7
chr9	44335832	A	+	m6A	51	1	0.157	0.917	38	0.921	0.184	0.833	38	0.974	0.132	0.767	75	0.933	0.293	0.9
chr9	44335958	A	+	m6A	48	1	0.396	0.867	38	0.921	0.263	0.717	31	0.935	0.387	0.833	64	0.969	0.547	0.767
