chr	pos	ref_base	strand	mod	14dKO-1_depth	14dKO-1_basecall_accuracy	14dKO-1_mod_freq	14dKO-1_mod_prob	14dKO-2_depth	14dKO-2_basecall_accuracy	14dKO-2_mod_freq	14dKO-2_mod_prob	14dWT-1_depth	14dWT-1_basecall_accuracy	14dWT-1_mod_freq	14dWT-1_mod_prob	14dWT-2_depth	14dWT-2_basecall_accuracy	14dWT-2_mod_freq	14dWT-2_mod_prob
chr1	55077965	A	-	m6A	54	0.963	0	NA	64	1	0.031	0.767	44	1	0.068	0.633	43	0.953	0.14	0.683
chr1	74267838	A	+	m6A	30	1	0	NA	39	1	0.051	0.65	25	0.96	0.08	0.65	35	1	0.143	0.9
chr1	74267968	A	+	m6A	36	0.972	0.028	0.667	41	0.976	0.049	0.767	27	0.963	0.556	0.733	38	1	0.395	0.767
chr1	84724471	A	-	m6A	31	0.968	0.032	0.6	57	0.982	0	NA	46	1	0.326	0.867	36	0.944	0.25	0.7
chr1	86350527	A	-	m6A	203	0.975	0.02	0.767	159	0.987	0	NA	118	0.941	0.263	0.7	95	0.968	0.232	0.65
chr1	86350577	A	-	m6A	213	0.991	0.019	0.8	160	1	0.006	0.9	125	0.992	0.248	0.733	101	0.98	0.307	0.733
chr1	86350940	A	-	m6A	194	0.969	0.015	0.767	150	0.973	0	NA	113	0.965	0.062	0.833	97	0.959	0.124	0.75
chr1	125393362	A	-	m6A	25	0.92	0.04	0.567	28	1	0.036	0.533	31	1	0.097	0.7	31	1	0.065	0.717
chr2	34775983	A	+	m6A	116	0.948	0.017	0.85	126	0.984	0.008	0.633	52	0.923	0.212	0.733	65	0.908	0.185	0.7
chr2	34776154	A	+	m6A	134	1	0.097	0.767	158	0.987	0.044	0.8	68	0.971	0.382	0.867	84	1	0.488	0.867
chr2	38588203	A	-	m6A	42	0.976	0	NA	62	1	0	NA	51	0.98	0.059	0.733	62	1	0.065	0.8
chr2	118476107	A	-	m6A	25	1	0	NA	27	1	0	NA	26	1	0.154	0.75	29	1	0.241	0.8
chr2	121437732	A	+	m6A	102	0.99	0.049	0.967	114	1	0.009	0.9	100	0.99	0.38	0.75	68	1	0.471	0.733
chr2	122151088	A	+	m6A	27	1	0	NA	36	1	0.028	0.733	28	1	0.107	0.7	28	1	0.071	0.817
chr2	130279229	A	+	m6A	26	1	0.038	0.967	34	1	0.029	0.867	34	1	0.059	0.75	27	1	0.111	0.7
chr2	148871933	A	-	m6A	46	1	0	NA	66	0.985	0.015	0.533	57	0.982	0.088	0.9	63	1	0.063	0.617
chr2	163072901	A	+	m6A	27	1	0	NA	27	1	0	NA	37	0.973	0.054	0.817	33	1	0.152	0.667
chr2	163074740	A	+	m6A	28	1	0.071	0.95	37	1	0.054	0.917	43	1	0.209	0.667	39	1	0.154	0.6
chr2	174463970	A	-	m6A	36	1	0	NA	61	1	0.049	0.733	81	1	0.062	0.767	76	1	0.066	0.867
chr2	180039460	A	-	m6A	25	0.88	0.04	0.8	32	0.906	0	NA	35	0.8	0.057	0.733	33	0.909	0.061	0.767
chr3	95032779	A	-	m6A	39	0.974	0	NA	43	0.907	0	NA	36	1	0.167	0.9	29	0.897	0.069	0.617
chr3	95659383	A	+	m6A	31	1	0	NA	43	0.977	0.047	0.7	31	0.968	0.161	0.767	26	1	0.154	0.9
chr3	95659983	A	+	m6A	37	1	0.054	0.833	46	1	0.022	0.8	37	0.973	0.081	0.867	33	1	0.182	0.75
chr3	95660844	A	+	m6A	45	1	0	NA	50	0.98	0.04	0.717	43	0.977	0.558	0.783	35	1	0.4	0.783
chr3	95660908	A	+	m6A	48	1	0.042	0.767	52	1	0.038	0.85	43	1	0.163	0.833	34	0.971	0.265	0.8
chr3	95661090	A	+	m6A	40	1	0.025	0.767	44	1	0.023	1	36	0.944	0.306	0.867	31	0.968	0.484	0.9
chr3	95661712	A	+	m6A	49	1	0	NA	61	1	0	NA	52	0.981	0.077	0.633	40	0.975	0.075	0.967
chr3	96560603	A	+	m6A	48	1	0.021	0.933	59	0.983	0.034	0.533	68	1	0.279	0.833	44	0.977	0.273	0.8
chr3	96560878	A	+	m6A	69	1	0.043	0.667	77	1	0.039	0.733	82	1	0.439	0.8	58	1	0.31	0.817
chr3	108387668	A	+	m6A	29	1	0	NA	32	1	0	NA	34	1	0.088	0.9	36	1	0.139	0.867
chr3	108387759	A	+	m6A	31	1	0	NA	31	1	0.065	0.667	33	1	0.424	0.717	33	1	0.364	0.833
chr3	108387793	A	+	m6A	34	1	0	NA	32	0.969	0.031	0.867	35	0.971	0.057	0.85	34	1	0.088	0.633
chr3	144597550	A	+	m6A	37	0.973	0	NA	50	1	0	NA	36	1	0.111	0.683	41	0.927	0.195	0.733
chr4	44032668	A	+	m6A	46	0.978	0.022	0.567	47	0.957	0.021	0.933	56	0.982	0.179	0.717	30	1	0.3	0.767
chr4	119136604	A	+	m6A	87	1	0.023	0.8	83	1	0.048	0.733	102	1	0.412	0.75	83	1	0.386	0.733
chr4	119136836	A	+	m6A	97	0.969	0.041	0.85	105	0.981	0.01	0.633	106	0.953	0.236	0.9	93	0.946	0.344	0.967
chr4	119136850	A	+	m6A	100	0.99	0.02	0.7	101	0.98	0	NA	103	0.951	0.223	0.667	93	0.968	0.172	0.717
chr4	119136927	A	+	m6A	108	0.991	0.037	0.75	115	0.983	0.017	0.783	113	0.991	0.106	0.817	101	0.98	0.079	0.833
chr4	119136950	A	+	m6A	109	1	0.018	0.933	116	0.991	0.017	0.683	115	1	0.113	0.7	101	0.97	0.139	0.783
