chr	pos	ref_base	strand	mod	WT2_depth	WT2_basecall_accuracy	WT2_mod_freq	WT2_mod_prob	KOM3_depth	KOM3_basecall_accuracy	KOM3_mod_freq	KOM3_mod_prob	WT1_depth	WT1_basecall_accuracy	WT1_mod_freq	WT1_mod_prob	KOM14_depth	KOM14_basecall_accuracy	KOM14_mod_freq	KOM14_mod_prob
chr1	10025033	A	-	m6A	332	0.985	0.102	0.783	170	0.982	0.035	0.667	96	0.979	0.115	0.867	191	0.969	0.026	0.767
chr1	15843064	A	+	m6A	80	0.938	0.362	0.767	33	1	0.061	0.783	44	0.977	0.5	0.833	73	0.973	0.151	0.667
chr1	16643101	A	-	m6A	78	0.962	0.154	0.617	37	0.973	0.054	0.617	26	1	0.231	0.75	44	0.977	0.091	0.717
chr1	20803298	A	-	m6A	570	0.923	0.054	0.7	220	0.927	0.005	0.967	218	0.885	0.069	0.733	409	0.936	0.029	0.7
chr1	20803359	A	-	m6A	574	0.983	0.256	0.767	180	0.994	0.061	0.7	202	0.985	0.262	0.767	371	0.987	0.127	0.8
chr1	33454114	A	-	m6A	79	0.987	0.127	0.817	25	1	0.04	0.9	30	1	0.1	0.833	51	1	0.059	0.767
chr1	34444690	A	+	m6A	155	0.994	0.355	0.767	73	0.986	0.178	0.833	32	0.969	0.375	0.783	88	0.989	0.239	0.7
chr1	36106089	A	+	m6A	130	0.992	0.338	0.85	73	0.986	0.233	0.7	75	0.973	0.427	0.733	84	1	0.202	0.767
chr1	36526964	A	+	m6A	49	0.98	0.306	0.767	26	0.962	0.038	0.9	25	1	0.24	0.833	31	1	0.129	0.733
chr1	36527034	A	+	m6A	60	1	0.567	0.867	31	1	0.194	0.85	37	1	0.432	0.883	34	0.971	0.206	0.7
chr1	36699564	A	-	m6A	107	0.981	0.075	0.883	38	1	0.053	0.75	30	1	0.167	0.833	52	0.962	0.058	0.6
chr1	36792487	A	-	m6A	120	0.992	0.4	0.867	38	1	0.158	0.85	38	1	0.474	0.8	86	0.988	0.186	0.833
chr1	37898162	A	+	m6A	479	0.96	0.081	0.867	308	0.971	0.003	0.967	188	0.979	0.08	0.7	195	0.969	0.026	0.933
chr1	37987661	A	-	m6A	156	0.994	0.09	0.767	86	0.977	0	NA	45	0.956	0.156	0.733	73	1	0.027	0.75
chr1	38051797	A	+	m6A	209	0.957	0.603	0.8	72	0.986	0.431	0.867	74	0.973	0.5	0.833	132	0.962	0.477	0.867
chr1	38051913	A	+	m6A	217	0.991	0.065	0.75	71	1	0	NA	75	1	0.053	0.717	130	0.992	0.008	0.6
chr1	40024692	A	+	m6A	96	0.99	0.073	0.9	48	1	0.042	0.817	51	1	0.137	0.8	50	1	0.02	0.933
chr1	44086900	A	-	m6A	90	0.978	0.233	0.767	37	0.973	0.027	0.9	28	1	0.107	0.767	44	0.977	0	NA
chr1	55077965	A	-	m6A	2105	0.989	0.066	0.733	1053	0.993	0.012	0.8	479	0.994	0.102	0.733	789	0.996	0.023	0.833
chr1	58461429	A	+	m6A	159	0.987	0.629	0.767	112	1	0.241	0.833	43	1	0.488	0.833	106	0.981	0.396	0.883
chr1	59639832	A	-	m6A	424	0.986	0.474	0.867	133	1	0.188	0.833	142	0.986	0.5	0.833	213	0.967	0.272	0.8
chr1	59639939	A	-	m6A	314	0.997	0.303	0.833	75	1	0.133	0.833	98	0.98	0.327	0.9	136	1	0.147	0.783
chr1	63143789	A	-	m6A	212	0.953	0.208	0.783	72	0.931	0.069	0.833	60	0.967	0.183	0.733	100	0.9	0.14	0.817
chr1	63314348	A	+	m6A	150	0.967	0.373	0.767	48	0.938	0.188	0.867	42	1	0.452	0.833	60	1	0.217	0.733
chr1	71579174	A	+	m6A	157	0.987	0.21	0.833	35	0.943	0	NA	35	0.971	0.314	0.833	83	1	0.084	0.733
chr1	71585755	A	-	m6A	1100	0.989	0.303	0.867	495	0.996	0.081	0.817	598	0.99	0.37	0.867	871	0.992	0.148	0.833
chr1	71586030	A	-	m6A	671	0.99	0.115	0.767	210	1	0.029	0.817	300	0.977	0.143	0.767	514	0.992	0.053	0.767
chr1	72394881	A	+	m6A	271	0.959	0.103	0.667	102	0.951	0.01	0.933	68	0.926	0.074	0.867	161	0.963	0.043	0.6
chr1	74267838	A	+	m6A	323	0.991	0.152	0.867	115	1	0.061	0.733	81	0.988	0.086	0.933	171	0.988	0.07	0.9
chr1	74267968	A	+	m6A	439	0.986	0.38	0.833	188	1	0.117	0.8	129	0.992	0.434	0.8	239	0.992	0.272	0.8
chr1	74280127	A	-	m6A	599	0.998	0.531	0.9	375	0.995	0.211	0.9	174	1	0.54	0.9	283	0.986	0.226	0.9
chr1	74530683	A	+	m6A	110	0.918	0.164	0.817	29	0.931	0.034	0.933	32	0.812	0.062	0.9	54	0.944	0.111	0.933
chr1	74593964	A	-	m6A	57	0.947	0.298	0.767	53	0.981	0.038	0.833	25	1	0.4	0.717	33	0.97	0.182	0.783
chr1	75213965	A	+	m6A	120	0.958	0.142	0.8	109	0.972	0.028	0.867	40	0.975	0.225	0.867	83	0.88	0.145	0.833
chr1	75215794	A	-	m6A	787	0.959	0.166	0.833	546	0.971	0.055	0.8	222	0.982	0.162	0.833	394	0.954	0.096	0.8
chr1	75215935	A	-	m6A	280	0.854	0.343	0.767	171	0.865	0.298	0.833	72	0.806	0.278	0.7	144	0.826	0.292	0.767
chr1	75216217	A	-	m6A	203	0.995	0.448	0.9	70	0.971	0.114	0.733	40	0.975	0.4	0.95	115	0.983	0.252	0.8
chr1	75308663	A	-	m6A	271	0.982	0.052	0.817	164	0.994	0	NA	135	0.978	0.067	0.767	142	0.993	0.021	0.567
chr1	75443026	A	+	m6A	96	0.99	0.323	0.8	65	1	0.092	0.933	55	1	0.473	0.833	66	1	0.197	0.9
chr1	75474829	A	-	m6A	84	0.988	0.095	0.717	48	0.938	0.062	0.6	35	1	0.286	0.767	46	1	0.152	0.7
chr1	75474844	A	-	m6A	78	0.808	0.064	0.767	44	0.795	0.023	0.767	33	0.788	0.152	0.633	40	0.925	0.075	0.867
chr1	80267107	A	-	m6A	161	0.988	0.596	0.867	45	0.978	0.444	0.867	39	0.923	0.564	0.767	83	0.916	0.373	0.767
chr1	80267125	A	-	m6A	146	0.986	0.5	0.767	44	1	0.477	0.8	37	1	0.514	0.8	78	1	0.564	0.867
chr1	82752176	A	+	m6A	132	0.977	0.159	0.867	53	0.943	0.038	0.783	47	0.979	0.319	0.867	71	0.986	0.113	0.867
chr1	84724471	A	-	m6A	693	0.984	0.296	0.767	365	0.981	0.173	0.8	365	0.995	0.321	0.733	419	0.986	0.241	0.767
chr1	84724670	A	-	m6A	538	0.987	0.058	0.7	210	0.995	0.029	0.75	236	0.996	0.051	0.833	312	0.981	0.029	0.733
chr1	84724697	A	-	m6A	487	0.969	0.146	0.7	177	0.989	0.056	0.633	200	0.99	0.135	0.733	281	0.986	0.093	0.667
chr1	86350527	A	-	m6A	4139	0.964	0.304	0.733	2075	0.969	0.1	0.733	1170	0.947	0.304	0.733	2176	0.972	0.171	0.733
chr1	86350577	A	-	m6A	4337	0.986	0.392	0.8	2108	0.991	0.222	0.8	1254	0.992	0.406	0.8	2207	0.985	0.277	0.8
chr1	86350940	A	-	m6A	3829	0.979	0.088	0.767	1781	0.992	0.019	0.7	1069	0.989	0.101	0.833	2049	0.982	0.035	0.733
chr1	86530385	A	+	m6A	261	1	0.077	0.633	128	0.992	0.008	0.6	91	1	0.055	0.633	129	1	0.031	0.7
chr1	87450598	A	+	m6A	75	0.987	0.253	0.767	30	0.967	0.033	0.967	25	1	0.56	0.75	70	0.986	0.129	0.833
chr1	87791905	A	+	m6A	82	1	0.22	0.85	30	1	0.133	0.667	33	0.97	0.455	0.8	47	1	0.085	0.55
chr1	89153555	A	+	m6A	79	0.987	0.354	0.8	31	1	0.129	0.867	73	1	0.356	0.817	93	0.978	0.194	0.75
chr1	89153562	A	+	m6A	84	1	0.333	0.683	31	1	0.194	0.7	73	1	0.301	0.733	92	1	0.217	0.75
chr1	90612937	A	+	m6A	139	0.971	0.381	0.767	52	0.981	0.077	0.733	48	0.958	0.479	0.767	80	0.988	0.25	0.75
chr1	93406184	A	-	m6A	139	0.986	0.158	0.633	62	1	0.065	0.833	51	0.961	0.176	0.7	80	1	0.025	0.683
