Sample	GeneID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	7235	45336884	0.1208016586040083
HepG2	ENSG00000133112	7235	45337046	0.09702833448514167
HepG2	ENSG00000133112	7235	45337294	0.3039391845196959
HepG2	ENSG00000133112	7235	45337310	0.12149274360746372
HepG2	ENSG00000196136	3915	94614605	0.21660280970625798
HepG2	ENSG00000196136	3915	94614956	0.42528735632183906
HepG2	ENSG00000196136	3915	94615034	0.07177522349936143
HepG2	ENSG00000196136	3915	94614769	0.08480204342273308
HepG2	ENSG00000196136	3915	94614893	0.10089399744572158
HepG2	ENSG00000196136	3915	94615088	0.0007662835249042146
HepG2	ENSG00000213741	4823	49577721	0.0026954177897574125
HepG2	ENSG00000163993	2101	6697033	0.13564969062351262
HepG2	ENSG00000189060	666	37806028	0.13663663663663664
HepG2	ENSG00000156508	1233	73517709	0.1678832116788321
HepG2	ENSG00000186468	910	82274113	0.006593406593406593
HepG2	ENSG00000075624	1670	5527743	0.17784431137724552
HepG2	ENSG00000075624	1670	5527533	0.26586826347305387
HepG2	ENSG00000101439	1812	23637702	0.07505518763796909
HepG2	ENSG00000101439	1812	23633842	0.2163355408388521
HepG2	ENSG00000034510	1574	84906590	0.17852604828462515
HepG2	ENSG00000162244	2025	51993720	0.19061728395061728
HepG2	ENSG00000130513	937	18388919	0.304162219850587
HepG2	ENSG00000130513	937	18389102	0.0736392742796158
HepG2	ENSG00000176153	985	64939400	0.26802030456852793
HepG2	ENSG00000187134	1259	4966084	0.0007942811755361397
HepG2	ENSG00000167658	1175	3976328	0.20340425531914894
HepG2	ENSG00000167658	1175	3976468	0.17361702127659576
HepG2	ENSG00000167658	1175	3976520	0.17872340425531916
HepG2	ENSG00000143878	229	20448207	0.2314410480349345
HepG2	ENSG00000143878	229	20447734	0.13537117903930132
HepG2	ENSG00000143878	229	20448154	0.0611353711790393
HepG2	ENSG00000143878	229	20448659	0.3799126637554585
HepG2	ENSG00000143878	229	20447659	0.1091703056768559
HepG2	ENSG00000143878	229	20448106	0.17467248908296942
HepG2	ENSG00000132386	990	1777349	0.16565656565656567
HepG2	ENSG00000132386	990	1777430	0.049494949494949494
HepG2	ENSG00000169564	338	70087770	0.3106508875739645
HepG2	ENSG00000100804	719	23026032	0.0890125173852573
HepG2	ENSG00000100804	719	23034822	0.07788595271210014
HepG2	ENSG00000135069	580	78329262	0.04310344827586207
HepG2	ENSG00000135069	580	78329391	0.4224137931034483
HepG2	ENSG00000250722	718	42801224	0.13231197771587744
HepG2	ENSG00000125968	606	31606309	0.22937293729372937
HepG2	ENSG00000145741	946	73505379	0.07293868921775898
HepG2	ENSG00000151655	601	7727767	0.07653910149750416
HepG2	ENSG00000134333	907	18407398	0.350606394707828
HepG2	ENSG00000132507	476	7311909	0.0861344537815126
HepG2	ENSG00000166794	528	64155887	0.4621212121212121
HepG2	ENSG00000213719	516	31730829	0.20736434108527133
HepG2	ENSG00000213719	516	31730764	0.09496124031007752
HepG2	ENSG00000169908	463	149369327	0.17278617710583152
HepG2	ENSG00000187840	554	38060209	0.17148014440433212
HepG2	ENSG00000187840	554	38059928	0.18050541516245489
HepG2	ENSG00000166710	811	44715591	0.187422934648582
HepG2	ENSG00000172216	158	50191581	0.1962025316455696
HepG2	ENSG00000172216	158	50192440	0.46835443037974683
HepG2	ENSG00000172216	158	50192112	0.16455696202531644
HepG2	ENSG00000044574	520	125236553	0.6384615384615384
HepG2	ENSG00000117394	412	42926639	0.23300970873786409
HepG2	ENSG00000117394	412	42926654	0.1529126213592233
HepG2	ENSG00000117394	412	42926881	0.38349514563106796
HepG2	ENSG00000117394	412	42926848	0.2087378640776699
HepG2	ENSG00000117394	412	42926965	0.24757281553398058
HepG2	ENSG00000117394	412	42926692	0.10436893203883495
HepG2	ENSG00000100867	493	23645159	0.04259634888438134
HepG2	ENSG00000100867	493	23636669	0.13184584178498987
HepG2	ENSG00000100867	493	23636555	0.05273833671399594
HepG2	ENSG00000100867	493	23645427	0.09330628803245436
HepG2	ENSG00000167004	554	43771249	0.41696750902527074
HepG2	ENSG00000135486	568	54284712	0.2711267605633803
HepG2	ENSG00000130522	135	18280261	0.14814814814814814
