Sample	GeneID	Isoform_1	Isoform_2	Site	ModFreq_I1	ModFreq_I2	ΔModFreq(I1-I2)
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000530705_1	45337310	0.1456582633053221	0.1007062516348417	0.04495201167048041
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000379056_1	45337310	0.1456582633053221	0.1692307692307692	-0.0235725059254471
HepG2	ENSG00000133112	ENST00000530705_1	ENST00000379056_1	45337310	0.1007062516348417	0.1692307692307692	-0.06852451759592751
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000530705_1	45337294	0.323062558356676	0.3319382683756212	-0.00887571001894516
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000379056_1	45337294	0.323062558356676	0.3846153846153846	-0.06155282625870856
HepG2	ENSG00000133112	ENST00000530705_1	ENST00000379056_1	45337294	0.3319382683756212	0.3846153846153846	-0.0526771162397634
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94587502	0.4436090225563909	0.4968553459119497	-0.05324632335555879
HepG2	ENSG00000173660	ENST00000311672_0	ENST00000496387_0	46316593	0.0771704180064308	0.125	-0.047829581993569195
HepG2	ENSG00000120705	ENST00000360541_0	ENST00000360541_1	138508067	0.2549019607843137	0.3389830508474576	-0.0840810900631439
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926965	0.2366255144032922	0.2132701421800948	0.02335537222319739
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94587919	0.3082706766917293	0.2830188679245283	0.02525180876720101
HepG2	ENSG00000175756	ENST00000378853_0	ENST00000338338_0	1373740	0.2533333333333333	0.3333333333333333	-0.08000000000000002
HepG2	ENSG00000171552	ENST00000676582_0	ENST00000307677_0	31722116	0.4680851063829787	0.4615384615384615	0.006546644844517169
HepG2	ENSG00000266412	ENST00000581486_0	ENST00000585132_0	46010734	0.21875	0.16	0.05875
HepG2	ENSG00000171867	ENST00000379440_0	ENST00000424424_0	4700266	0.064516129032258	0.1126760563380281	-0.04815992730577011
HepG2	ENSG00000134308	ENST00000238081_0	ENST00000238081_1	9630211	0.0851063829787234	0.0392156862745098	0.0458906967042136
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752879	0.2545454545454545	0.2857142857142857	-0.03116883116883118
HepG2	ENSG00000119888	ENST00000263735_0	ENST00000263735_1	47386851	0.0746268656716417	0.1045751633986928	-0.0299482977270511
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926639	0.2633744855967078	0.2559241706161137	0.007450314980594064
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752947	0.3272727272727272	0.2789115646258503	0.0483611626468769
HepG2	ENSG00000171552	ENST00000676582_0	ENST00000307677_0	31722246	0.2553191489361702	0.3269230769230769	-0.07160392798690673
HepG2	ENSG00000084733	ENST00000264710_0	ENST00000264710_1	26034247	0.2244897959183673	0.2539682539682539	-0.029478458049886608
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926692	0.1152263374485596	0.1374407582938388	-0.022214420845279206
HepG2	ENSG00000060138	ENST00000228251_0	ENST00000279550_0	10699542	0.4308943089430894	0.4634146341463415	-0.0325203252032521
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207544	0.2747252747252747	0.28	-0.005274725274725334
HepG2	ENSG00000171867	ENST00000379440_0	ENST00000424424_0	4700254	0.3225806451612903	0.3661971830985915	-0.04361653793730119
HepG2	ENSG00000103202	ENST00000219479_0	ENST00000219479_1	400537	0.1478873239436619	0.1494252873563218	-0.0015379634126598818
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207538	0.3846153846153846	0.2133333333333333	0.1712820512820513
HepG2	ENSG00000103035	ENST00000219313_0	ENST00000219313_1	74305358	0.1020408163265306	0.1742424242424242	-0.0722016079158936
HepG2	ENSG00000254999	ENST00000530758_0	ENST00000530758_1	10126842	0.0422535211267605	0.0694444444444444	-0.027190923317683906
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752741	0.2727272727272727	0.1632653061224489	0.1094619666048238
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926654	0.1378600823045267	0.1374407582938388	0.0004193240106878937
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926881	0.397119341563786	0.3649289099526066	0.032190431611179404
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614605	0.1977063479244064	0.1707317073170731	0.02697464060733329
HepG2	ENSG00000182512	ENST00000331334_0	ENST00000331334_1	95544049	0.0921985815602836	0.1551724137931034	-0.0629738322328198
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8683872	0.4215686274509804	0.3249211356466877	0.09664749180429272
HepG2	ENSG00000197006	ENST00000358154_0	ENST00000396014_0	21655797	0.0927835051546391	0.1	-0.00721649484536091
HepG2	ENSG00000178719	ENST00000395068_0	ENST00000313269_0	143993142	0.0895522388059701	0.0576923076923076	0.031859931113662504
HepG2	ENSG00000147853	ENST00000381809_0	ENST00000381809_1	4712553	0.0657894736842105	0.054054054054054	0.011735419630156493
HepG2	ENSG00000266412	ENST00000581486_0	ENST00000585132_0	46011022	0.234375	0.2	0.03437499999999999
HepG2	ENSG00000132386	ENST00000254722_0	ENST00000572517_0	1777349	0.1756578947368421	0.2156862745098039	-0.04002837977296181
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94590264	0.2330827067669172	0.2389937106918239	-0.005911003924906705
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8683900	0.0980392156862745	0.1735015772870662	-0.0754623616007917
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614956	0.441124212566629	0.4390243902439024	0.0020998223227265966
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137753203	0.5818181818181818	0.4557823129251701	0.12603586889301172
HepG2	ENSG00000112473	ENST00000374677_0	ENST00000374675_0	33201287	0.1111111111111111	0.108695652173913	0.002415458937198106
HepG2	ENSG00000101361	ENST00000329276_0	ENST00000492135_0	2658306	0.0984848484848484	0.1851851851851851	-0.0867003367003367
HepG2	ENSG00000091140	ENST00000205402_0	ENST00000205402_1	107919401	0.048780487804878	0.1166666666666666	-0.0678861788617886
HepG2	ENSG00000124802	ENST00000379715_0	ENST00000379715_1	8079911	0.0657894736842105	0.0567375886524822	0.009051885031728296
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137753973	0.3818181818181818	0.3741496598639456	0.007668521954236174
HepG2	ENSG00000232388	ENST00000435844_0	ENST00000411646_0	18569432	0.3081395348837209	0.2533333333333333	0.05480620155038762
HepG2	ENSG00000171552	ENST00000676582_0	ENST00000307677_0	31722098	0.2978723404255319	0.4615384615384615	-0.1636661211129296
HepG2	ENSG00000147853	ENST00000381809_0	ENST00000381809_1	4712898	0.0921052631578947	0.1216216216216216	-0.029516358463726897
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614769	0.0776934259408819	0.1707317073170731	-0.0930382813761912
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8684004	0.1078431372549019	0.0977917981072555	0.010051339147646401
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207494	0.1098901098901098	0.1733333333333333	-0.0634432234432235
HepG2	ENSG00000134419	ENST00000322989_0	ENST00000563390_0	18782969	0.0783699059561128	0.0762711864406779	0.002098719515434902
HepG2	ENSG00000196975	ENST00000394295_0	ENST00000394295_1	69825652	0.0526315789473684	0.1304347826086956	-0.0778032036613272
HepG2	ENSG00000182512	ENST00000331334_0	ENST00000331334_1	95544174	0.6666666666666666	0.6379310344827587	0.028735632183907955
HepG2	ENSG00000197006	ENST00000358154_0	ENST00000396014_0	21655732	0.3092783505154639	0.4	-0.09072164948453615
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94615034	0.07462445485382	0.0	0.07462445485382
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207783	0.2307692307692307	0.2533333333333333	-0.0225641025641026
HepG2	ENSG00000129625	ENST00000379638_0	ENST00000379638_1	112878718	0.2476190476190476	0.1568627450980392	0.09075630252100839
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94592778	0.2481203007518796	0.2641509433962264	-0.01603064264434681
