Sample	GeneID	IsoformID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	ENST00000530705_0	2142	45337046	0.49906629318394025
HepG2	ENSG00000133112	ENST00000530705_0	2142	45337294	0.323062558356676
HepG2	ENSG00000133112	ENST00000530705_0	2142	45336884	0.5662931839402428
HepG2	ENSG00000133112	ENST00000530705_0	2142	45337310	0.14565826330532214
HepG2	ENSG00000133112	ENST00000530705_1	7646	45337294	0.33193826837562124
HepG2	ENSG00000133112	ENST00000530705_1	7646	45337310	0.10070625163484175
HepG2	ENSG00000133112	ENST00000379056_0	22	45336884	0.5909090909090909
HepG2	ENSG00000133112	ENST00000379056_0	22	45337046	0.6818181818181818
HepG2	ENSG00000133112	ENST00000379056_0	22	45337310	0.13636363636363635
HepG2	ENSG00000133112	ENST00000379056_0	22	45337294	0.22727272727272727
HepG2	ENSG00000133112	ENST00000379056_1	65	45337310	0.16923076923076924
HepG2	ENSG00000133112	ENST00000379056_1	65	45337294	0.38461538461538464
HepG2	ENSG00000196136	ENST00000393078_0	6191	94614956	0.441124212566629
HepG2	ENSG00000196136	ENST00000393078_0	6191	94614769	0.07769342594088192
HepG2	ENSG00000196136	ENST00000393078_0	6191	94614893	0.10208366984332096
HepG2	ENSG00000196136	ENST00000393078_0	6191	94614605	0.1977063479244064
HepG2	ENSG00000196136	ENST00000393078_0	6191	94615034	0.07462445485382006
HepG2	ENSG00000196136	ENST00000393078_0	6191	94615088	0.0014537231465029882
HepG2	ENSG00000196136	ENST00000556968_0	41	94614956	0.43902439024390244
HepG2	ENSG00000196136	ENST00000556968_0	41	94614893	0.12195121951219512
HepG2	ENSG00000196136	ENST00000556968_0	41	94614605	0.17073170731707318
HepG2	ENSG00000196136	ENST00000556968_0	41	94614769	0.17073170731707318
HepG2	ENSG00000196136	ENST00000556968_0	41	94615034	0.0
HepG2	ENSG00000213741	ENST00000396020_0	37	49577721	0.2972972972972973
HepG2	ENSG00000163993	ENST00000296370_0	2466	6697033	0.1597729115977291
HepG2	ENSG00000189060	ENST00000340857_0	1117	37806028	0.17367949865711726
HepG2	ENSG00000156508	ENST00000309268_0	5481	73517709	0.16675789089582194
HepG2	ENSG00000186468	ENST00000296674_0	38	82274113	0.15789473684210525
HepG2	ENSG00000075624	ENST00000646664_0	1859	5527743	0.18773534158149544
HepG2	ENSG00000075624	ENST00000646664_0	1859	5527533	0.24314147391070468
HepG2	ENSG00000101439	ENST00000376925_0	1986	23633842	0.2104733131923464
HepG2	ENSG00000101439	ENST00000376925_0	1986	23637702	0.06998992950654583
HepG2	ENSG00000034510	ENST00000233143_0	1832	84906590	0.19486899563318777
HepG2	ENSG00000162244	ENST00000294189_0	2503	51993720	0.23811426288453855
HepG2	ENSG00000130513	ENST00000252809_0	1265	18388919	0.31146245059288535
HepG2	ENSG00000130513	ENST00000252809_0	1265	18389102	0.09644268774703557
HepG2	ENSG00000176153	ENST00000389614_0	1107	64939400	0.26377597109304424
HepG2	ENSG00000187134	ENST00000380872_0	1367	4966084	0.0021945866861741038
HepG2	ENSG00000167658	ENST00000309311_0	2143	3976468	0.20205319645356976
HepG2	ENSG00000167658	ENST00000309311_0	2143	3976520	0.1791880541297247
HepG2	ENSG00000167658	ENST00000309311_0	2143	3976328	0.2281847876808213
HepG2	ENSG00000143878	ENST00000272233_0	333	20448106	0.18618618618618618
HepG2	ENSG00000143878	ENST00000272233_0	333	20448154	0.09009009009009009
HepG2	ENSG00000143878	ENST00000272233_0	333	20448659	0.3663663663663664
HepG2	ENSG00000143878	ENST00000272233_0	333	20447659	0.10510510510510511
HepG2	ENSG00000143878	ENST00000272233_0	333	20448207	0.17717717717717718
HepG2	ENSG00000143878	ENST00000272233_0	333	20447734	0.11411411411411411
HepG2	ENSG00000132386	ENST00000254722_0	1520	1777349	0.1756578947368421
HepG2	ENSG00000132386	ENST00000254722_0	1520	1777430	0.06578947368421052
HepG2	ENSG00000132386	ENST00000572517_0	51	1777349	0.21568627450980393
HepG2	ENSG00000132386	ENST00000572517_0	51	1777430	0.0392156862745098
HepG2	ENSG00000169564	ENST00000303577_0	488	70087770	0.2520491803278688
HepG2	ENSG00000100804	ENST00000361611_0	857	23026032	0.09801633605600933
HepG2	ENSG00000100804	ENST00000361611_0	857	23034822	0.09568261376896149
HepG2	ENSG00000100804	ENST00000493471_0	13	23034822	0.07692307692307693
HepG2	ENSG00000100804	ENST00000493471_0	13	23026032	0.23076923076923078
HepG2	ENSG00000135069	ENST00000376588_0	781	78329391	0.4379001280409731
HepG2	ENSG00000135069	ENST00000376588_0	781	78329262	0.056338028169014086
HepG2	ENSG00000250722	ENST00000514985_0	952	42801224	0.17016806722689076
HepG2	ENSG00000125968	ENST00000376112_0	665	31606309	0.28421052631578947
HepG2	ENSG00000125968	ENST00000376105_0	23	31606309	0.4782608695652174
HepG2	ENSG00000145741	ENST00000335895_0	1169	73505379	0.08041060735671514
HepG2	ENSG00000145741	ENST00000380591_0	32	73505379	0.0
