Sample	GeneID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	17793	45336884	0.08104310683976845
HepG2	ENSG00000133112	17793	45337046	0.07407407407407407
HepG2	ENSG00000133112	17793	45337294	0.2159838138593829
HepG2	ENSG00000133112	17793	45337310	0.06407013994267409
HepG2	ENSG00000196136	9311	94614605	0.1623885726559983
HepG2	ENSG00000196136	9311	94614956	0.3575340994522608
HepG2	ENSG00000196136	9311	94614769	0.03630114917839115
HepG2	ENSG00000196136	9311	94614893	0.034690151433787994
HepG2	ENSG00000196136	9311	94615034	0.054666523466867144
HepG2	ENSG00000196136	9311	94615088	0.0011813983460423156
HepG2	ENSG00000213741	3834	49577721	0.0020865936358894104
HepG2	ENSG00000163993	4487	6697033	0.1060842433697348
HepG2	ENSG00000189060	2562	37806028	0.11631537861046058
HepG2	ENSG00000156508	2751	73517709	0.057433660487095604
HepG2	ENSG00000186468	4217	82274113	0.00047427080863172874
HepG2	ENSG00000075624	3654	5527743	0.07717569786535304
HepG2	ENSG00000075624	3654	5527533	0.15571975916803504
HepG2	ENSG00000101439	2271	23633842	0.12285336856010567
HepG2	ENSG00000101439	2271	23637702	0.05328049317481286
HepG2	ENSG00000034510	2886	84906590	0.12404712404712405
HepG2	ENSG00000162244	1705	51993720	0.19882697947214076
HepG2	ENSG00000130513	3149	18388919	0.14925373134328357
HepG2	ENSG00000130513	3149	18389102	0.06922832645284217
HepG2	ENSG00000176153	2942	64939400	0.18422841604350781
HepG2	ENSG00000187134	2660	4966084	0.00037593984962406017
HepG2	ENSG00000167658	2197	3976468	0.1347291761492945
HepG2	ENSG00000167658	2197	3976328	0.108329540282203
HepG2	ENSG00000167658	2197	3976520	0.11060537096040055
HepG2	ENSG00000143878	846	20448154	0.1276595744680851
HepG2	ENSG00000143878	846	20448207	0.12056737588652482
HepG2	ENSG00000143878	846	20448659	0.22104018912529552
HepG2	ENSG00000143878	846	20447734	0.1276595744680851
HepG2	ENSG00000143878	846	20448106	0.09810874704491726
HepG2	ENSG00000143878	846	20447659	0.04728132387706856
HepG2	ENSG00000132386	2319	1777349	0.0948684777921518
HepG2	ENSG00000132386	2319	1777430	0.0474342388960759
HepG2	ENSG00000169564	1082	70087770	0.09611829944547134
HepG2	ENSG00000100804	1692	23034822	0.05200945626477541
HepG2	ENSG00000100804	1692	23026032	0.03959810874704492
HepG2	ENSG00000135069	1376	78329391	0.2449127906976744
HepG2	ENSG00000135069	1376	78329262	0.059593023255813955
HepG2	ENSG00000250722	1969	42801224	0.0792280345352971
HepG2	ENSG00000125968	1219	31606309	0.11648892534864644
HepG2	ENSG00000145741	1886	73505379	0.057794273594909865
HepG2	ENSG00000151655	910	7727767	0.06043956043956044
HepG2	ENSG00000134333	1407	18407398	0.2501776830135039
HepG2	ENSG00000132507	1270	7311909	0.06456692913385827
HepG2	ENSG00000166794	1017	64155887	0.26253687315634217
HepG2	ENSG00000213719	1627	31730829	0.17086662569145666
HepG2	ENSG00000213719	1627	31730764	0.06945298094652735
HepG2	ENSG00000169908	890	149369327	0.09775280898876404
HepG2	ENSG00000187840	1411	38060209	0.10772501771793054
HepG2	ENSG00000187840	1411	38059928	0.27285613040396883
HepG2	ENSG00000166710	1365	44715591	0.10329670329670329
HepG2	ENSG00000172216	469	50191581	0.1257995735607676
HepG2	ENSG00000172216	469	50192440	0.34541577825159914
HepG2	ENSG00000172216	469	50192112	0.16204690831556504
HepG2	ENSG00000044574	1058	125236553	0.29206049149338376
HepG2	ENSG00000117394	1172	42926881	0.11945392491467577
HepG2	ENSG00000117394	1172	42926965	0.10494880546075085
HepG2	ENSG00000117394	1172	42926639	0.2235494880546075
HepG2	ENSG00000117394	1172	42926654	0.11604095563139932
HepG2	ENSG00000117394	1172	42926692	0.0947098976109215
HepG2	ENSG00000117394	1172	42926848	0.08361774744027303
HepG2	ENSG00000100867	1029	23636669	0.10204081632653061
HepG2	ENSG00000100867	1029	23645427	0.05150631681243926
HepG2	ENSG00000100867	1029	23645159	0.05150631681243926
HepG2	ENSG00000100867	1029	23636555	0.04470359572400389
HepG2	ENSG00000167004	1213	43771249	0.2868920032976092
HepG2	ENSG00000135486	662	54284712	0.16767371601208458
HepG2	ENSG00000130522	498	18280261	0.18072289156626506
HepG2	ENSG00000130522	498	18280365	0.06827309236947791
HepG2	ENSG00000162545	318	20482914	0.040880503144654086
HepG2	ENSG00000162545	318	20482746	0.08490566037735849
HepG2	ENSG00000123416	956	49129373	0.0502092050209205
HepG2	ENSG00000182512	911	95544174	0.4654226125137212
HepG2	ENSG00000182512	911	95544310	0.20197585071350166
HepG2	ENSG00000182512	911	95544049	0.06366630076838639
HepG2	ENSG00000179918	732	30443773	0.12704918032786885
HepG2	ENSG00000179918	732	30444756	0.13387978142076504
HepG2	ENSG00000179918	732	30443976	0.16939890710382513
HepG2	ENSG00000179918	732	30444356	0.25956284153005466
HepG2	ENSG00000179918	732	30445315	0.2103825136612022
HepG2	ENSG00000179918	732	30445369	0.09972677595628415
HepG2	ENSG00000179918	732	30445503	0.05327868852459016
HepG2	ENSG00000173660	705	46316593	0.04397163120567376
