Sample	GeneID	Isoform_1	Isoform_2	Site	ModFreq_I1	ModFreq_I2	ΔModFreq(I1-I2)
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000530705_1	45337294	0.3135168961201502	0.3017921146953405	0.011724781424809705
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000379056_1	45337294	0.3135168961201502	0.2826086956521739	0.03090820046797632
HepG2	ENSG00000133112	ENST00000530705_1	ENST00000379056_1	45337294	0.3017921146953405	0.2826086956521739	0.019183419043166616
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000530705_1	45337310	0.169586983729662	0.1082437275985663	0.06134325613109569
HepG2	ENSG00000133112	ENST00000530705_0	ENST00000379056_1	45337310	0.169586983729662	0.0869565217391304	0.08263046199053159
HepG2	ENSG00000133112	ENST00000530705_1	ENST00000379056_1	45337310	0.1082437275985663	0.0869565217391304	0.0212872058594359
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614956	0.4249935450555125	0.4634146341463415	-0.038421089090828975
HepG2	ENSG00000136238	ENST00000348035_0	ENST00000348035_1	6402659	0.0	0.0865384615384615	-0.0865384615384615
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94592778	0.2442748091603053	0.2098765432098765	0.0343982659504288
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137753203	0.4186046511627907	0.4175824175824176	0.001022233580373122
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614605	0.21714433255874	0.1707317073170731	0.046412625241666894
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8683798	0.1666666666666666	0.2161016949152542	-0.04943502824858759
HepG2	ENSG00000135486	ENST00000546500_0	ENST00000340913_0	54284712	0.2875536480686695	0.2857142857142857	0.0018393623543838111
HepG2	ENSG00000140612	ENST00000268220_0	ENST00000268220_1	84669820	0.079646017699115	0.0845070422535211	-0.004861024554406096
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752741	0.3023255813953488	0.1098901098901098	0.19243547150523901
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752904	0.4651162790697674	0.5604395604395604	-0.09532328136979307
HepG2	ENSG00000254999	ENST00000530758_0	ENST00000530758_1	10126842	0.0201342281879194	0.0128205128205128	0.0073137153674066
HepG2	ENSG00000182512	ENST00000331334_0	ENST00000331334_1	95544049	0.0723404255319148	0.108695652173913	-0.036355226641998195
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926965	0.2564935064935065	0.2211538461538461	0.035339660339660406
HepG2	ENSG00000184076	ENST00000330029_0	ENST00000401406_0	29769872	0.2888283378746594	0.2619047619047619	0.026923575969897473
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752947	0.3488372093023256	0.3076923076923077	0.04114490161001788
HepG2	ENSG00000134419	ENST00000322989_0	ENST00000563390_0	18782969	0.0866425992779783	0.1298701298701298	-0.04322753059215151
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94587919	0.2977099236641221	0.2962962962962963	0.0014136273678257982
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926654	0.1525974025974026	0.1538461538461538	-0.0012487512487512065
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926848	0.198051948051948	0.2403846153846154	-0.042332667332667384
HepG2	ENSG00000119888	ENST00000263735_0	ENST00000263735_1	47386657	0.0694444444444444	0.0465116279069767	0.022932816537467704
HepG2	ENSG00000214274	ENST00000336811_0	ENST00000397990_0	20694125	0.1138211382113821	0.0975609756097561	0.016260162601625994
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926692	0.1038961038961039	0.1057692307692307	-0.0018731268731267958
HepG2	ENSG00000124802	ENST00000379715_0	ENST00000379715_1	8079911	0.1111111111111111	0.1159420289855072	-0.004830917874396101
HepG2	ENSG00000232388	ENST00000435844_0	ENST00000411646_0	18569432	0.158273381294964	0.2075471698113207	-0.04927378851635672
HepG2	ENSG00000147853	ENST00000381809_0	ENST00000381809_1	4712553	0.0784313725490196	0.0188679245283018	0.05956344802071781
HepG2	ENSG00000132386	ENST00000254722_0	ENST00000572517_0	1777349	0.1678986272439282	0.1162790697674418	0.0516195574764864
HepG2	ENSG00000060138	ENST00000228251_0	ENST00000279550_0	10699542	0.3611111111111111	0.3409090909090909	0.02020202020202022
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8683872	0.3833333333333333	0.3135593220338983	0.069774011299435
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8683900	0.15	0.1906779661016949	-0.04067796610169491
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94615034	0.0712625871417505	0.1219512195121951	-0.0506886323704446
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94590264	0.2061068702290076	0.2098765432098765	-0.0037696729808689156
HepG2	ENSG00000124802	ENST00000379715_0	ENST00000379715_1	8079820	0.1587301587301587	0.1521739130434782	0.006556245686680506
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137753963	0.3023255813953488	0.3076923076923077	-0.00536672629695889
