Sample	GeneID	IsoformID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	ENST00000530705_0	1598	45336884	0.5438047559449312
HepG2	ENSG00000133112	ENST00000530705_0	1598	45337046	0.43429286608260326
HepG2	ENSG00000133112	ENST00000530705_0	1598	45337294	0.3135168961201502
HepG2	ENSG00000133112	ENST00000530705_0	1598	45337310	0.16958698372966208
HepG2	ENSG00000133112	ENST00000530705_1	5580	45337294	0.3017921146953405
HepG2	ENSG00000133112	ENST00000530705_1	5580	45337310	0.1082437275985663
HepG2	ENSG00000133112	ENST00000379056_0	11	45336884	0.45454545454545453
HepG2	ENSG00000133112	ENST00000379056_0	11	45337046	0.7272727272727273
HepG2	ENSG00000133112	ENST00000379056_0	11	45337294	0.09090909090909091
HepG2	ENSG00000133112	ENST00000379056_0	11	45337310	0.0
HepG2	ENSG00000133112	ENST00000379056_1	46	45337310	0.08695652173913043
HepG2	ENSG00000133112	ENST00000379056_1	46	45337294	0.2826086956521739
HepG2	ENSG00000196136	ENST00000393078_0	3873	94614605	0.21714433255874
HepG2	ENSG00000196136	ENST00000393078_0	3873	94614956	0.4249935450555125
HepG2	ENSG00000196136	ENST00000393078_0	3873	94615034	0.07126258714175059
HepG2	ENSG00000196136	ENST00000393078_0	3873	94614769	0.08417247611670539
HepG2	ENSG00000196136	ENST00000393078_0	3873	94614893	0.10121352956364575
HepG2	ENSG00000196136	ENST00000393078_0	3873	94615088	0.000774593338497289
HepG2	ENSG00000196136	ENST00000556968_0	41	94614605	0.17073170731707318
HepG2	ENSG00000196136	ENST00000556968_0	41	94614956	0.4634146341463415
HepG2	ENSG00000196136	ENST00000556968_0	41	94615034	0.12195121951219512
HepG2	ENSG00000196136	ENST00000556968_0	41	94614769	0.14634146341463414
HepG2	ENSG00000196136	ENST00000556968_0	41	94614893	0.07317073170731707
HepG2	ENSG00000213741	ENST00000396020_0	27	49577721	0.48148148148148145
HepG2	ENSG00000163993	ENST00000296370_0	2101	6697033	0.13564969062351262
HepG2	ENSG00000189060	ENST00000340857_0	666	37806028	0.13663663663663664
HepG2	ENSG00000156508	ENST00000309268_0	1233	73517709	0.1678832116788321
HepG2	ENSG00000186468	ENST00000296674_0	14	82274113	0.42857142857142855
HepG2	ENSG00000075624	ENST00000646664_0	1670	5527743	0.17784431137724552
HepG2	ENSG00000075624	ENST00000646664_0	1670	5527533	0.26586826347305387
HepG2	ENSG00000101439	ENST00000376925_0	1812	23637702	0.07505518763796909
HepG2	ENSG00000101439	ENST00000376925_0	1812	23633842	0.2163355408388521
HepG2	ENSG00000034510	ENST00000233143_0	1574	84906590	0.17852604828462515
HepG2	ENSG00000162244	ENST00000294189_0	2025	51993720	0.19061728395061728
HepG2	ENSG00000130513	ENST00000252809_0	937	18388919	0.304162219850587
HepG2	ENSG00000130513	ENST00000252809_0	937	18389102	0.0736392742796158
HepG2	ENSG00000176153	ENST00000389614_0	985	64939400	0.26802030456852793
HepG2	ENSG00000187134	ENST00000380872_0	1259	4966084	0.0007942811755361397
HepG2	ENSG00000167658	ENST00000309311_0	1175	3976328	0.20340425531914894
HepG2	ENSG00000167658	ENST00000309311_0	1175	3976468	0.17361702127659576
HepG2	ENSG00000167658	ENST00000309311_0	1175	3976520	0.17872340425531916
HepG2	ENSG00000143878	ENST00000272233_0	229	20448207	0.2314410480349345
HepG2	ENSG00000143878	ENST00000272233_0	229	20447734	0.13537117903930132
HepG2	ENSG00000143878	ENST00000272233_0	229	20448154	0.0611353711790393
HepG2	ENSG00000143878	ENST00000272233_0	229	20448659	0.3799126637554585
HepG2	ENSG00000143878	ENST00000272233_0	229	20447659	0.1091703056768559
HepG2	ENSG00000143878	ENST00000272233_0	229	20448106	0.17467248908296942
HepG2	ENSG00000132386	ENST00000254722_0	947	1777349	0.1678986272439282
HepG2	ENSG00000132386	ENST00000254722_0	947	1777430	0.050686378035902854
HepG2	ENSG00000132386	ENST00000572517_0	43	1777349	0.11627906976744186
HepG2	ENSG00000132386	ENST00000572517_0	43	1777430	0.023255813953488372
HepG2	ENSG00000169564	ENST00000303577_0	338	70087770	0.3106508875739645
HepG2	ENSG00000100804	ENST00000361611_0	708	23026032	0.08898305084745763
HepG2	ENSG00000100804	ENST00000361611_0	708	23034822	0.0748587570621469
HepG2	ENSG00000100804	ENST00000493471_0	11	23026032	0.09090909090909091
HepG2	ENSG00000100804	ENST00000493471_0	11	23034822	0.2727272727272727
HepG2	ENSG00000135069	ENST00000376588_0	580	78329262	0.04310344827586207
HepG2	ENSG00000135069	ENST00000376588_0	580	78329391	0.4224137931034483
HepG2	ENSG00000250722	ENST00000514985_0	718	42801224	0.13231197771587744
HepG2	ENSG00000125968	ENST00000376112_0	587	31606309	0.22998296422487224
HepG2	ENSG00000125968	ENST00000376105_0	19	31606309	0.21052631578947367
HepG2	ENSG00000145741	ENST00000335895_0	932	73505379	0.07188841201716738
HepG2	ENSG00000145741	ENST00000380591_0	14	73505379	0.14285714285714285
HepG2	ENSG00000151655	ENST00000358415_0	601	7727767	0.07653910149750416
HepG2	ENSG00000134333	ENST00000422447_0	907	18407398	0.350606394707828
HepG2	ENSG00000132507	ENST00000336458_0	454	7311909	0.09030837004405286
HepG2	ENSG00000132507	ENST00000419711_0	22	7311909	0.0
HepG2	ENSG00000166794	ENST00000300026_0	528	64155887	0.4621212121212121
HepG2	ENSG00000213719	ENST00000375784_0	508	31730829	0.20669291338582677
HepG2	ENSG00000213719	ENST00000375784_0	508	31730764	0.09645669291338582
HepG2	ENSG00000213719	ENST00000616760_0	8	31730829	0.25
HepG2	ENSG00000213719	ENST00000616760_0	8	31730764	0.0
HepG2	ENSG00000169908	ENST00000305366_0	463	149369327	0.17278617710583152
HepG2	ENSG00000187840	ENST00000338825_0	554	38060209	0.17148014440433212
HepG2	ENSG00000187840	ENST00000338825_0	554	38059928	0.18050541516245489
HepG2	ENSG00000166710	ENST00000648006_0	811	44715591	0.187422934648582
HepG2	ENSG00000172216	ENST00000303004_0	158	50191581	0.1962025316455696
HepG2	ENSG00000172216	ENST00000303004_0	158	50192440	0.46835443037974683
