Transcript	Site A	Site B	Transcript_counts	Counts_A	FreqA	Counts_B	FreqB	Counts_AB	obs_FreqAB	exp_FreqAB	SdFromExpected
ENST00000530705_1	45337294	45337310	26882	7138	0.26553083847927983	2167	0.08061156163975895	629	0.02339855665501079	0.021404855553329345	2.258567935444933
ENST00000393078_0	94614769	94614956	19280	1144	0.05933609958506224	7687	0.3987033195020747	501	0.025985477178423238	0.023657499870869993	2.1268983627580336
ENST00000393078_0	94614769	94615034	19280	1144	0.05933609958506224	1245	0.0645746887966805	97	0.005031120331950208	0.0038316101651142374	2.695879097210563
ENST00000393078_0	94614769	94614893	19280	1144	0.05933609958506224	1346	0.06981327800829876	95	0.004927385892116182	0.00414244761626005	1.6969220718617188
ENST00000393078_0	94614769	94614605	19280	1144	0.05933609958506224	3571	0.18521784232365146	243	0.012603734439834025	0.010990104337046539	2.1490982756556134
ENST00000393078_0	94614956	94615088	19280	7687	0.3987033195020747	23	0.0011929460580912864	7	0.00036307053941908715	0.00047563155334791075	-0.7168189681966316
ENST00000393078_0	94614956	94615034	19280	7687	0.3987033195020747	1245	0.0645746887966805	520	0.026970954356846474	0.025746142779049953	1.0738179122690492
ENST00000393078_0	94614956	94614893	19280	7687	0.3987033195020747	1346	0.06981327800829876	556	0.028838174273858923	0.027834785687229906	0.8469517933678764
ENST00000393078_0	94614956	94614605	19280	7687	0.3987033195020747	3571	0.18521784232365146	1497	0.07764522821576764	0.0738469685654517	2.016649636219329
ENST00000393078_0	94615088	94614605	19280	23	0.0011929460580912864	3571	0.18521784232365146	4	0.0002074688796680498	0.00022095489488817345	-0.12598920391372873
ENST00000393078_0	94615034	94614893	19280	1245	0.0645746887966805	1346	0.06981327800829876	87	0.004512448132780083	0.004508170701262031	0.008865792323590785
ENST00000393078_0	94615034	94614605	19280	1245	0.0645746887966805	3571	0.18521784232365146	224	0.011618257261410789	0.011960384527642432	-0.4370000148368975
ENST00000393078_0	94614893	94614605	19280	1346	0.06981327800829876	3571	0.18521784232365146	274	0.01421161825726141	0.012930664718238323	1.5743548889774537
ENST00000530705_0	45337046	45337294	7746	3073	0.3967208882003615	2092	0.27007487735605473	852	0.10999225406661503	0.10714434522529773	0.8103816078349285
ENST00000530705_0	45337046	45337310	7746	3073	0.3967208882003615	924	0.1192873741285825	407	0.0525432481280661	0.04732379301538007	2.163473005972788
ENST00000530705_0	45337046	45336884	7746	3073	0.3967208882003615	3512	0.4533953008004131	1494	0.19287374128582493	0.17987138643940997	2.979468081324127
ENST00000530705_0	45337294	45337310	7746	2092	0.27007487735605473	924	0.1192873741285825	280	0.036147689129873484	0.03221652293790273	1.9594388559405496
ENST00000530705_0	45337294	45336884	7746	2092	0.27007487735605473	3512	0.4533953008004131	1024	0.1321972631035373	0.12245068025748312	2.6168254625346257
ENST00000530705_0	45337310	45336884	7746	924	0.1192873741285825	3512	0.4533953008004131	496	0.06403304931577589	0.05408433487472008	3.8711834845827977
ENST00000646664_0	5527743	5527533	7183	928	0.12919393011276625	1465	0.20395377975776138	211	0.02937491298900181	0.026349590368258746	1.6007966560343254
ENST00000376925_0	23637702	23633842	6069	396	0.0652496292634701	1089	0.17943648047454275	76	0.012522656121272038	0.011708163827305804	0.5898730425754496
ENST00000309311_0	3976328	3976520	5515	966	0.17515865820489573	837	0.15176790571169538	155	0.028105167724388033	0.026583462723027695	0.7025028506612966
ENST00000309311_0	3976328	3976468	5515	966	0.17515865820489573	933	0.16917497733454215	176	0.03191296464188577	0.02963246203176205	0.9987374474839398
ENST00000309311_0	3976520	3976468	5515	837	0.15176790571169538	933	0.16917497733454215	166	0.030099728014505892	0.025675332008886994	2.07738440377549
ENST00000252809_0	18389102	18388919	5351	409	0.07643431134367408	1149	0.21472621939824332	121	0.022612595776490375	0.016412450707135397	3.5696537957589043
ENST00000254722_0	1777349	1777430	4695	638	0.1358892438764643	258	0.054952076677316296	45	0.009584664536741214	0.007467396149122001	1.6851428609673076
ENST00000361611_0	23034822	23026032	3238	222	0.06856084002470661	214	0.06609017912291539	15	0.004632489190858555	0.004531198198050406	0.08582007580068136
ENST00000375784_0	31730829	31730764	2758	517	0.18745467730239304	227	0.0823060188542422	55	0.01994198694706309	0.015428648204366648	1.9231250519007357
ENST00000376588_0	78329391	78329262	2737	924	0.3375959079283887	151	0.05516989404457435	50	0.018268176835951774	0.018625130470291084	-0.1381281129345053
